id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
4264	16138	16213	"Harbor Tales Down North With an Appreciation by Wilfred T. Grenfell, M.D."	"Duncan, Norman, 1871-1916"	FIC	1918	Passive	Pronoun	Pronoun	NoTo	AccDat
5728	62509	62520	"Philo Gubb, Correspondence-School Detective"	"Butler, Ellis Parker,  1869-1937"	FIC	1918	Passive	Pronoun	Pronoun	To	AccDat
2343	7516	7535	The Boy Allies with the Victorious Fleets The Fall of the German Navy		FIC	1919	Passive	Pronoun	Pronoun	NoTo	AccDat
2343	29045	29066	The Boy Allies with the Victorious Fleets The Fall of the German Navy		FIC	1919	Passive	NA	NA	NA	NA
684542	1371	1391	PEACE FINANCE; INDEMNITIES AND SIGNATURES ARTICLE XX. PEACE FINANCE	C.W. Barron	NEWS	1919	Passive	Pronoun	Noun	NoTo	DatAcc
430832	2121	2137	The International Mind	L.P. Jacks	MAG	1920	Passive	NA	NA	NA	NA
773562	9599	9636	Contemporary French Politics	Raymond Leslie Buell 	NF	1920	Passive	NA	NA	NA	NA
773945	16232	16248	Ordinance and the World War	William Crozier	NF	1920	Passive	NA	NA	NA	NA
773952	5224	5250	Teaching Home Economics	Anna M. Cooley	NF	1920	Passive	NA	NA	NA	NA
773952	18622	18637	Teaching Home Economics	Anna M. Cooley	NF	1920	Passive	NA	NA	NA	NA
2600	19523	19559	Troop One of the Labrador		FIC	1920	Passive	Pronoun	Pronoun	NoTo	AccDat
750901	16659	16671	Washington and His Comrades in Arms; a chronicle of the War of Independence	"Wrong, George McKinnon, 1860-1948"	NF	1921	Passive	Pronoun	Noun	NoTo	DatAcc
751077	9184	9215	The Age of Invention : a chronicle of mechanical conquest	"Thompson, Holland, 1873-1940"	NF	1921	Passive	NA	NA	NA	NA
751975	51919	51942	The Mirrors of Washington	"Gilbert, Clinton W. (Clinton Wallace), 1871-1933"	NF	1921	Passive	Pronoun	Noun	NoTo	DatAcc
1216	38992	39004	The Flaming Forest		FIC	1921	Passive	NA	NA	NA	NA
1256	14197	14209	Galusha the Magnificent		FIC	1921	Passive	Pronoun	Noun	NoTo	DatAcc
2717	9071	9097	The Puritan Twins		FIC	1921	Passive	Pronoun	Pronoun	NoTo	AccDat
5302	76596	76608	The Beloved Woman	"Norris, Kathleen Thompson,  1880-1966"	FIC	1921	Passive	NA	NA	NA	NA
